q	gloss	clean	qtmplt	atmplt	ptag	ntag	count
can you also feel the emotion about yourself?	directed(e,self)	can you also feel the emotion about yourself	can {experiencer:you} also feel {e:the emotion} about {experiencer:yourself}	you can feel {e:the emotion} about yourself	NULL	NULL	1
does the emotion dissipate quickly?	e.duration==short	does the emotion dissipate quickly	does {e:the emotion} dissipate quickly	{e:the emotion} dissipates quickly	NULL	NULL	1
is it related to jealosy/envy?	associated(e,[jealousy,envy])	is it related to jealosy or envy	is {e:it} related to {emotion:jealosy or envy}	{e:it} is related to jealosy or envy	NULL	NULL	1
ok is it a good emotion?	good(e)	ok is it a good emotion	{interjection:ok} is {e:it} a good emotion	NULL	NULL	NULL	1
ok would you feel like this if you fail a test?	situation(e,failATest)	ok would you feel like this if you fail a test	{interjection:ok} would {experiencer:you} feel {e:like this} if {situation:you fail a test}	NULL	NULL	NULL	1
if a girl breaks up with you do you feel like this'?	situation(e,girlBreaksUpWithYou)	if a girl breaks up with you do you feel like this'	if {situation:a girl breaks up with {experiencer:you}} do {experiencer:you} feel {e:like this}	NULL	NULL	NULL	1
can you feel like this when you lie?	situation(e,lying)	can you feel like this when you lie	can {experiencer:you} feel {emotion:like this} when {situation:you lie}	NULL	NULL	NULL	1
is it guilt?	e==guilt	is it guilt	is {e:it} {emotion:guilt}	NULL	NULL	NULL	1
does it last a long time?	e.duration==long	does it last a long time	does {e:it} last {duration:a long time}	NULL	NULL	NULL	1
do you think a dog can feel this emotion?	feel(e,dog)	do you think a dog can feel this emotion	{modal:do you think} {experiencer:a dog} can feel {e:this emotion}	NULL	NULL	NULL	1
is it fear?	e==fear	is it fear	is {e:it} {emotion:fear}	NULL	NULL	NULL	1
is it excited?	e==excited	is it excited	is {e:it} {emotion:excited}	NULL	NULL	NULL	1
hmm...\nfrightened?	e==fright	hmm frightened	{hesitation:hmm} {emotion:frightened}	NULL	NULL	NULL	1
would you feel it at a haunted house?	situation(e,atHauntedHouse)	would you feel it at a haunted house	would {experiencer:you} feel {e:it} {situation:at a haunted house}	you would feel {e:it} at a haunted house	NULL	NULL	1
how about if something made a noise in the night and you weren't sure what it is?	situation(e,somethingMadeANoiseInTheNightAndYouArentSureWhatItIs)	how about if something made a noise in the night and you were not sure what it is	{interjection:how about} if {situation:something made a noise in the night and {experiencer:you} were not sure what it is}	NULL	NULL	NULL	1
is there anticipation involved?\nif there's an expectation of something happening...	associated(e,expectation)	is there anticipation involved if there's an expectation of something happening	is there anticipation involved if there is an expectation of something happening	there is anticipation involved if there's an expectation of something happening	NULL	NULL	1
is it dread?	e==dread	is it dread	is {e:it} {emotion:dread}	NULL	NULL	NULL	1
oh, shyness?	e==shyness	oh shyness	{interjection:oh} {emotion:shyness}	NULL	NULL	NULL	1
is it associated with happiness	associated(e,happiness)	is it associated with happiness	is {e:it} associated with {emotion:happiness}	{e:it} is associated with happiness	NULL	NULL	1
would you feel like this if you are at disneyland	situation(e,disney)	would you feel like this if you are at disneyland	would {experiencer:you} feel like {e:this} if {situation:{experiencer:you} are at disneyland}	you would feel {e:like this} if you are at disneyland	NULL	NULL	1
would you feel like this if you are with someone you love?	situation(e,withSomeoneYouLove)	would you feel like this if you are with someone you love	would {experiencer:you} feel like {e:this} if {situation:{experiencer:you} are with someone {experiencer:you} love}	you would feel {e:like this} if you are with someone you love	NULL	NULL	1
can you feel this toward a pet?	can(directed(e,pet)	can you feel this toward a pet	can {experiencer:you} feel {e:this} toward {beneficiary:a pet}	you can feel {e:this} toward a pet	NULL	NULL	1
is it associated with enjoyment\n?	associated(e,enjoyment)	is it associated with enjoyment	is {e:it} associated with {emotion:enjoyment}	{e:it} is associated with enjoyment	NULL	NULL	1
is it associated with being comfortable?	associated(e,beingComfortable)	is it associated with being comfortable	is {e:it} associated with {emotion:being comfortable}	{e:it} is associated with being comfortable	NULL	NULL	1
is it more intense or less intense than being comfortable?	non-yes-no		NULL	NULL	NULL	NULL	1
is it associated with serenity?	associated(e,serenity)	is it associated with serenity	is {e:it} associated with {emotion:serenity}	NULL	NULL	NULL	1
composed?	e==composed	composed	{emotion:composed}	NULL	NULL	NULL	1
is it tranquility?	e==tranquility	is it tranquility	is {e:it} {emotion:tranquility}	NULL	NULL	NULL	1
unpreoccupied\n?\nI dont even think you can translate that\nits from a word in spanish	e==unpreoccupied	unpreoccupied I dont even think you can translate that its from a word in spanish	{emotion:unpreoccupied} {comment:I dont even think you can translate that its from a word in spanish}	NULL	NULL	NULL	1
uhm do you feel like this at the spa?	situation(e,spa)	uhm do you feel like this at the spa	{hesitation:uhm} do {experiencer:you} feel like {e:this} {situation:at the spa}	NULL	NULL	NULL	1
do you feel like this during a test?	situation(e,duringTest)	do you feel like this during a test	do {experiencer:you} feel like {e:this} {situation:during a test}	NULL	NULL	NULL	1
how about if you are a professional dancer and you are in the middle of a performance	situation(e,professionalDancerInMiddleOfPerformance)	how about if you are a professional dancer and you are in the middle of a performance	how about if {situation:{experiencer:you} are a professional dancer and {experiencer:you} are in the middle of a performance}	NULL	NULL	NULL	1
give me a situation\nin which you would feel like this	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
is it like being focused?	similar(e,focus)	is it like being focused	is {e:it} like {emotion:being focused}	NULL	NULL	NULL	1
calmm!\nhaha ok\nit was close	e==calm	NULL	NULL	NULL	NULL	NULL	1
1. Is it a positive emotion?	e.valence==positive	1 is it a positive emotion	{qnum:1} is {e:it} a positive emotion	NULL	NULL	NULL	1
2. Is it very obvious to other people if you are having this emotion?	hasExternalExpression(e)	2 is it very obvious to other people if you are having this emotion	{qnum:2} is it very obvious to other people if {experiencer:you} are having {e:this emotion}	NULL	NULL	NULL	1
3. Is it usually an intense emotion?	e.activation==high	3 is it usually an intense emotion	{qnum:3} is {e:it} {modal:usually} an intense emotion	NULL	NULL	NULL	1
Does it usually last for a short period of time?	e.duration==short	does it usually last for a short period of time	does {e:it} {modal:usually} last for {duration:a short period of time}	NULL	NULL	NULL	1
|s it happy?	e==happiness	is it happy	is {e:it} {emotion:happy}	NULL	NULL	NULL	1
Is it associated with something being satisfied (i.e. an aim or a goal?)	assocated(e,goal)	is it associated with something being satisfied ie an aim or a goal	is {e:it} associated with {situation:something being satisfied {clarification:ie an aim or a goal}}	NULL	NULL	NULL	1
is it pleasure? (as in, taking pleasure in something?)	e==pleasure	is it pleasure as in taking pleasure in something	is {e:it} {emotion:pleasure} {clarification:as in taking pleasure in something}	NULL	NULL	NULL	1
contented?	e==contentment	contented	{emotion:contented}	NULL	NULL	NULL	1
enjoyment?	e==enjoyment	enjoyment	{emotion:enjoyment}	NULL	NULL	NULL	1
enthusiasm?	e==enthusiasm	enthusiasm	{emotion:enthusiasm}	NULL	NULL	NULL	1
hmmm  - I'm still here, just thinking	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
ah ok  -I might have gone off on the wrong track\njoy?	e==joy	ah ok i might have gone off on the wrong track joy	{interjection:ah ok} {comment:i might have gone off on the wrong track} {emotion:joy}	NULL	NULL	NULL	1
does this emotion involve a goal or aim?	associated(e,goal)	does this emotion involve a goal or aim	does {e:this emotion} involve a goal or aim	NULL	NULL	NULL	1
is there another person involved?	associated(e,otherPerson)	is there another person involved	is there another person involved	NULL	NULL	NULL	1
does this emotion usually make you feel good?	cause(e,feelGood)	does this emotion usually make you feel good	does {e:this emotion} {modal:usually} {cause:make} {experiencer:you} feel good	NULL	NULL	NULL	1
would you say it's a negative emotion?	e.valence==negative	would you say it is a negative emotion	{modal:would you say} {e:it} is a negative emotion	NULL	NULL	NULL	1
so is it necessary that there is another person (or other sentient being) involved?	necessary(associated(e,otherPerson))	so is it necessary that there is another person or other sentient being involved	{interjection:so} {modal:is it necessary that} there is another person or other sentient being involved	NULL	NULL	NULL	1
is it annoyed?	e==annoyed	is it annoyed	is {e:it} {emotion:annoyed}	NULL	NULL	NULL	1
is it the other person that the emotion is directed at?	directed(e,otherPerson)	is it the other person that the emotion is directed at	is {beneficiary:it} {beneficiary:the other person} that {e:the emotion} is directed at	NULL	NULL	NULL	1
jealosy?	e==jealousy	jealousy	{emotion:jealousy}	NULL	NULL	NULL	1
envy?	e==envy	envy	{emotion:envy}	NULL	NULL	NULL	1
do you feel it when you've had a long exhausting day?	situation(e,longExhaustingDay)	do you feel it when you have had a long exhausting day	do {experiencer:you} feel {e:it} when {situation:{experiencer:you} have had a long exhausting day}	NULL	NULL	NULL	1
do you feel it when someone lets you down?	situation(e,someoneLetsYouDown)	do you feel it when someone lets you down	do {experiencer:you} feel {e:it} when {situation:someone lets {experiencer:you} down}	NULL	NULL	NULL	1
how about when you're scared?	situation(e,scared)	how about when you are scared	how about when {situation:{experiencer:you} are scared}	NULL	NULL	NULL	1
do you feel it when somebody has something you want?	situation(e,someoneHasSomethingYouWant)	do you feel it when somebody has something you want	do {experiencer:you} feel {e:it} when {situation:somebody has something {experiencer:you} want}	NULL	NULL	NULL	1
do you feel it when you're stressed?	situation(e,stress)	do you feel it when you're stressed	do {experiencer:you} feel {e:it} when {situation:{experiencer:you}'re stressed}	NULL	NULL	NULL	1
kinda like being overwhelemed?\n*overwhelmed	similar(e,overwhelmed)	kinda like being overwhelmed	kinda like {emotion:being overwhelmed}	NULL	NULL	NULL	1
it's a generally bad feeling, righT?	e.valence==negative	it's a generally bad feeling right	{e:it} is a {modal:generally} bad feeling {interjection:right}	NULL	NULL	NULL	1
so is it bad?	bad(e)	so is it bad	{interjection:so} is {e:it} bad	NULL	NULL	NULL	1
is it an intense feeling?\nor does it vary?	e.activation==high	NULL	NULL	NULL	NULL	NULL	1
do you feel it when somebody is bothering you?	situation(e,someoneIsBotheringYou)	do you feel it when somebody is bothering you	do {experiencer:you} feel {e:it} when {situation:somebody is bothering {experiencer:you}	NULL	NULL	NULL	1
do you get it when you're surprised?	situation(e,surprise)	do you get it when you are surprised	do {experiencer:you} get {e:it} when {situation:{experiencer:you} are {emotion:surprised}}	NULL	NULL	NULL	1
do you feel it when you you blame yourself?	situation(e,blameYourself)	do you feel it when you you blame yourself	do {experiencer:you} feel {e:it} when {situation:{experiencer:you} blame {experiencer:yourself}}	NULL	NULL	NULL	1
